active,entrants,exits,firms,quarter,year
974,,,28,Q4,2011
1040,66,0,39,Q1,2012
1041,1,0,,Q2,2012
1041,0,0,,Q3,2012
1041,0,0,,Q4,2012
1003,32,-70,42,Q1,2013
1028,25,0,,Q2,2013
1028,0,0,,Q3,2013
1028,0,0,,Q4,2013
1018,54,-64,41,Q1,2014
1018,0,0,41,Q2,2014
1051,43,-10,45,Q3,2014
1031,2,-22,45,Q4,2014
1029,2,-4,44,Q1,2015
1084,56,-1,45,Q2,2015
1084,0,0,45,Q3,2015
1170,88,-2,45,Q4,2015
1163,0,-7,46,Q1,2016
1164,5,-4,46,Q2,2016
1216,52,0,46,Q3,2016
1211,1,-6,45,Q4,2016
1211,0,0,45,Q1,2017
1244,44,-11,45,Q2,2017
1241,0,-3,47,Q3,2017
1272,37,-6,47,Q4,2017
