count,crime,year
5,Λαθρεμπόριο καυσίμων,2014
1,Λαθρεμπόριο τσιγάρων,2014
1,Λαθρεμπόριο αλκοόλ,2014
9,Διακίνηση προϊόντων παραεμπορίου ή Περί Σημάτων,2014
13,Παράνομος στοιχηματισμός τυχερών παιγνίων,2014
733,Φοροδιαφυγή φυσικών και νομικών προσώπων,2014
13,Χρηματοδότηση Μ.Κ.Ο.,2014
1,Αξιόποινες πράξεις από ΑΕ (100% μέτοχος το Δημόσιο),2014
23,Διασπάθιση κοινοτικών και εθνικών κονδυλίων,2014
62,Οικονομικά αδικήματα σε βάρος Δημοσίου/ΕΕ ,2014
594,Προστασία κοινωνικής ασφάλισης,2014
3,Απάτες σε βάρος ιδιωτών,2014
13,Διασπάθιση κοινοτικών και εθνικών κονδυλίων,2015
30,Οικονομικά αδικήματα σε βάρος Δημοσίου/ΕΕ,2015
8,Χρηματοδότηση Μ.Κ.Ο.,2015
7,Αξιόποινες πράξεις από ΑΕ (100% μέτοχος το Δημόσιο),2015
7,Διακίνηση προϊόντων παραεμπορίου ή Περί Σημάτων,2015
5,Παράνομος στοιχηματισμός τυχερών παιγνίων,2015
19,Λαθρεμπόριο καυσίμων,2015
7,Λαθρεμπόριο τσιγάρων,2015
4,Λαθρεμπόριο αλκοόλ,2015
529,Φοροδιαφυγή φυσικών και νομικών προσώπων,2015
469,Προστασία κοινωνικής ασφάλισης,2015
5,Απάτες σε βάρος ιδιωτών,2015
16,"Απιστία, δωροδοκία & διαφθορά σε βάρος Δημοσίου/ΕΕ",2015
2,Διασυνοριακό οργανωμένο έγκλημα,2015
7,Νομιμοποίηση εσόδων από εγκληματικές δραστηριότητες ,2015
6,Διασπάθιση κοινοτικών και εθνικών κονδυλίων,2016
23,Οικονομικά αδικήματα σε βάρος Δημοσίου/ΕΕ,2016
5,Χρηματοδότηση Μ.Κ.Ο.,2016
5,Αξιόποινες πράξεις από ΑΕ (100% μέτοχος το Δημόσιο),2016
19,Διακίνηση προϊόντων παραεμπορίου ή Περί Σημάτων,2016
17,Παράνομος στοιχηματισμός τυχερών παιγνίων,2016
27,Λαθρεμπόριο καυσίμων,2016
0,Λαθρεμπόριο τσιγάρων,2016
19,Λαθρεμπόριο αλκοόλ,2016
693,Φοροδιαφυγή φυσικών και νομικών προσώπων,2016
639,Προστασία κοινωνικής ασφάλισης,2016
3,Απάτες σε βάρος ιδιωτών,2016
20,"Απιστία, δωροδοκία & διαφθορά σε βάρος Δημοσίου/ΕΕ",2016
1,Διασυνοριακό οργανωμένο έγκλημα,2016
25,Νομιμοποίηση εσόδων από εγκληματικές δραστηριότητες ,2016
5,Διασπάθιση κοινοτικών και εθνικών κονδυλίων,2017
6,Οικονομικά αδικήματα εις βάρος Δημοσίου/ΕΕ,2017
1,Χρηματοδότηση Μ.Κ.Ο.,2017
35,Διαφθορά,2017
8,Υπεξαίρεση,2017
1,Ανακριβής δήλωση Πόθεν Έσχες,2017
27,Παράνομη διακίνηση ή νόθευση αγαθών & παραεμπόριο ,2017
41,Τυχερά παίγνια - παράνομος στοιχηματισμός,2017
1,Παραβίαση κανόνων ελεύθερου ανταγωνισμού - αγοράς,2017
19,Λαθρεμπόριο καυσίμων,2017
12,Λαθρεμπόριο τσιγάρων,2017
25,Λαθρεμπόριο αλκοόλ,2017
4,Λαθρεμπόριο αγαθών,2017
682,Φοροδιαφυγή φυσικών και νομικών προσώπων,2017
627,Προστασία κοινωνικής ασφάλισης,2017
53,Απάτες,2017
37,Νομιμοποίηση εσόδων από εγκληματικές δραστηριότητες,2017
5,Πλαστογραφία,2017
20,Λοιπά Αδικήματα ή Άλλα Π.Κ.,2017
744,Προστασία κοινωνικής ασφάλισης,2018
591,Φοροδιαφυγή φυσικών και νομικών προσώπων,2018
98,Παράνομος στοιχηματισμός - τυχερά παίγνια ,2018
50,Διαφθορά,2018
49,Απάτες,2018
43,Παράνομη διακίνηση ή νόθευση αγαθών & παρεμπόριο ,2018
37,Νομιμοποίηση εσόδων από εγκληματικές δραστηριότητες,2018
26,Λαθρεμπόριο τσιγάρων,2018
17,Λαθρεμπόριο καυσίμων,2018
14,Πλαστογραφία,2018
10,Λαθρεμπόριο αλκοόλ,2018
5,Χρηματοδότηση Μ.Κ.Ο.,2018
4,Διασπάθιση κοινοτικών και εθνικών κονδυλίων,2018
3,Λαθρεμπόριο αγαθών,2018
3,Υπεξαίρεση,2018
2,Οικονομικά αδικήματα σε βάρος Δημοσίου/Ε.Ε.,2018
1,Παραβίαση κανόνων ελεύθερου ανταγωνισμού - αγοράς,2018
19,Λοιπά Αδικήματα ή Άλλα Π.Κ.,2018
